
i,Cash,"CASH
45,000  45 Thou+","CASH
35,000  35 Thou+",Nil,Nil,Nil,Nil,"Rs 80,000
80 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","ANNASAHEB NAGAR SAHAKRI BANK BHOSARI PUNE A/C N. 001002300005411
3,317  3 Thou+

PUNE JILHA MADHYAWARTI SAHKARI BANK BHOSARIA/C N. 4686
1,95,075  1 Lacs+

BULDHANA URBAN CO OP CREDIT SOC. LTD BHOSARI A/C N. 1528
23,674  23 Thou+

PUNJAB NATIONAL BANK BHOSARI A/C N. 2919000100781390
90,564  90 Thou+

STATE BANK O F INDIA NARIMAN POINT A/C N. 20192412266
1,81,215  1 Lacs+

COSMOS BANK CHICHWAD A/C N. 0331001011404
5,94,478  5 Lacs+

BANK OF MAHARASHTRA BHOSARI A/C N. 60090349741
28,122  28 Thou+

RAJGURUNAGAR SAHKARI BANK LTD BHOSARI A/C. 8310
1,168  1 Thou+

CANARA BANK BHOSARI A/C N. 2431101003137
20,01,000  20 Lacs+","ANNASAHEB NAGAR SAHAKRI BANK BHOSARI PUNE A/C N. 001002300014500
2,725  2 Thou+

VIGHYA SAHKARI BANK BHOSARI A/C N. 201003130001982
6,32,106  6 Lacs+

PAVNA SAHKARI BANK BHOSARI A/C N. 8779
1,114  1 Thou+",Nil,Nil,Nil,Nil,"Rs 37,54,558
37 Lacs+"
iii,"Bonds, Debentures and Shares in companies","BHULDANA URBAN CO OP CREDUT SOC. 505 SHARE
50,500  50 Thou+

SANT TUKARAM SAHAKARI SAKHAR KARKHANA KASAR SAI TOTAL SHARES 1 RS
10,000  10 Thou+","ANNASAHEB NAGAR SAHKARI BANK 1 SHARE
1,000  1 Thou+",Nil,Nil,Nil,Nil,"Rs 61,500
61 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"GOLD 9 TOLA
3,49,200  3 Lacs+","GOLD 13 TOLA
5,04,400  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,53,600
8 Lacs+"
viii,"Other assets, such as values of claims / interests","REVOLVER
57,600  57 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 57,600
57 Thou+"
Gross Total Value (as per Affidavit),"36,30,913  36 Lacs+","11,76,345  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 48,07,258
48 Lacs+"
Totals (Calculated as Sum of Values),"Rs 36,30,913
36 Lacs+","Rs 11,76,345
11 Lacs+",Nil,Nil,Nil,Nil,"Rs 48,07,258
48 Lacs+"
