
i,Cash,"1,00,000  1 Lacs+","2,25,000  2 Lacs+","9,75,000  9 Lacs+",Nil,Nil,Nil,"Rs 13,00,000
13 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI BANK,YAVATMAL
5,33,352  5 Lacs+

SBI Bank
19,55,578  19 Lacs+

yavatmal avarn co.op bank yavatmal
4,330  4 Thou+

union bank of india
10,84,804  10 Lacs+","YAVATMAL MAHILA SARAKARI BANK
3,533  3 Thou+

YAVATMAL MAHILA SARKARI BANK
1,633  1 Thou+

YAVATMAL ARVAN CO-OP BANK YAVATMAL
11,031  11 Thou+

VIDHARBH KOKAN SHETRIY GRAMIN BANK
63,873  63 Thou+

VIDHARBH KOKAN SHETRIY GRAMIN BANK YAVATMAL
12,417  12 Thou+","VIDHARBH KOKAN SHETRIY GRAMIN BANK YAVATMAL
60,565  60 Thou+

YAVATMAL SARKARI BNANK LTD.
1,720  1 Thou+

SENTRAL BANK OF INDIA
1,59,392  1 Lacs+

YAVAT MAL JILHA MADYAVARTI SARKARI BANK
69,001  69 Thou+","vidharbha kokan shetriy gramin bank lkyavatmal
2,39,105  2 Lacs+",Nil,Nil,"Rs 42,00,334
42 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,"yavatmal arban co-op. bank LTD
6,500  6 Thou+

ME. YEVALAAL,INFRAIWORK PVT.LTD
60,000  60 Thou+",Nil,Nil,Nil,Nil,"Rs 66,500
66 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC
4,22,620  4 Lacs+

LIC
4,11,000  4 Lacs+

LIC
17,33,797  17 Lacs+

SBI LIFE insurance POLICY
99,000  99 Thou+","BHARTY AYUVIMA POLISY
80,378  80 Thou+

LIC
7,87,628  7 Lacs+","LIC
9,94,030  9 Lacs+",Nil,"LIC
10,28,872  10 Lacs+",Nil,"Rs 55,57,325
55 Lacs+"
v,Personal loans/advance given,"PENDING
10,00,000  10 Lacs+","PENDING
6,04,960  6 Lacs+","PENDING
71,60,477  71 Lacs+",Nil,Nil,Nil,"Rs 87,65,437
87 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","Bullet 350 uc motor model year2013
1,49,571  1 Lacs+

ACTIVA MOTOR MODEL YEAR 2011
56,000  56 Thou+

qualis fs b3 model years2001
4,65,000  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,70,571
6 Lacs+"
vii,Jewellery (give details weight value),"gold 50 gram
1,87,500  1 Lacs+

1 Kg Silver
46,000  46 Thou+","gold 45 gram
1,68,750  1 Lacs+","gold 260 gram
9,75,000  9 Lacs+",Nil,Nil,Nil,"Rs 13,77,250
13 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"82,48,554  82 Lacs+","20,25,703  20 Lacs+","1,03,95,185  1 Crore+","2,39,105  2 Lacs+","10,28,872  10 Lacs+",Nil,"Rs 2,19,37,419
2 Crore+"
Totals (Calculated as Sum of Values),"Rs 82,48,552
82 Lacs+","Rs 20,25,703
20 Lacs+","Rs 1,03,95,185
1 Crore+","Rs 2,39,105
2 Lacs+","Rs 10,28,872
10 Lacs+",Nil,"Rs 2,19,37,417
2 Crore+"
