
i,Cash,"4,10,988  4 Lacs+","26,200  26 Thou+",Nil,Nil,Nil,Nil,"Rs 4,37,188
4 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Election Ac
10,000  10 Thou+

Axis Bank Ac/no 911010025993220
82,309  82 Thou+

The Malkapur arban co opp bank bhokardan ac/no 000411010000777
30,58,750  30 Lacs+

Bank of maharashtra Ac/no 60185942501
12,50,631  12 Lacs+

The malkapur arban co op bank Ac/no 000411010004167
16,377  16 Thou+

State bank of india ac no 34376970660
1,28,72,921  1 Crore+","State bank of india 20329464712
87",Nil,Nil,Nil,Nil,"Rs 1,72,91,075
1 Crore+"
iii,"Bonds, Debentures and Shares in companies","shares
10,000  10 Thou+

shairs
100  1 Hund+

shairs
2,000  2 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 12,100
12 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","Max Policy
2,55,230  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,55,230
2 Lacs+"
v,Personal loans/advance given,"Sri mahesh akat
2,50,911  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,50,911
2 Lacs+"
vi,"Motor Vehicles (details of make, etc.)","TATA motors TN20BL0456 Year 2018
39,00,000  39 Lacs+

Honda Activa MH21AH2431 Year 2012
54,000  54 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 39,54,000
39 Lacs+"
vii,Jewellery (give details weight value),"Gold 5 tole
1,90,000  1 Lacs+

Silver 2kilo
1,00,000  1 Lacs+","Gold 48 Tole
18,24,000  18 Lacs+

Silver 3Kilo 500Gram
1,75,000  1 Lacs+",Nil,"Gold 20 Tole
7,60,000  7 Lacs+

Silver 1 Kilo
50,000  50 Thou+",Nil,Nil,"Rs 30,99,000
30 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"2,24,64,218  2 Crore+","20,25,287  20 Lacs+",Nil,"8,10,000  8 Lacs+",Nil,Nil,"Rs 2,52,99,505
2 Crore+"
Totals (Calculated as Sum of Values),"Rs 2,24,64,217
2 Crore+","Rs 20,25,287
20 Lacs+",Nil,"Rs 8,10,000
8 Lacs+",Nil,Nil,"Rs 2,52,99,504
2 Crore+"
