
i,Cash,"4,00,000  4 Lacs+","2,00,000  2 Lacs+",Nil,"1,00,000  1 Lacs+",Nil,Nil,"Rs 7,00,000
7 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Nagad Br
10,000  10 Thou+","SBI Nagad Br Sb A/c
30,000  30 Thou+",Nil,"SBI Nagad Br Sb A/c
2,000  2 Thou+",Nil,Nil,"Rs 42,000
42 Thou+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,"Lokvikas Sah Bank Aurangabad Shares
87,500  87 Thou+",Nil,Nil,"Rs 87,500
87 Thou+"
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","LIC POlicy
15,00,000  15 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 15,00,000
15 Lacs+"
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Mahindra Tractor MH-20-C-1313 1994
50,000  50 Thou+",Nil,Nil,"Hyundai Creta MH-20-EJ-5001 2017
11,50,000  11 Lacs+

TATA TIPPER 1618 MH-13-AX-4039 2016
14,00,000  14 Lacs+

MAHINDRA TRACTOE MH-19-P-2790 2006
50,000  50 Thou+

AUTO MH-20-ED-5818 2016
2,00,000  2 Lacs+

HERO SPLENDOR MH-20-DZ-6582 2016
50,000  50 Thou+

HERO SPLENDOUR MH-20-CP-8726 2012
55,000  55 Thou+

ACTIVA MH-20-DK-1355 2014
52,000  52 Thou+

HERO DELUEX MH-20-DP-5893 2015
55,000  55 Thou+",Nil,Nil,"Rs 30,62,000
30 Lacs+"
vii,Jewellery (give details weight value),"10 TOLA Gold
3,80,000  3 Lacs+","20 Tola gold
7,60,000  7 Lacs+",Nil,"5 tola gold
2,00,000  2 Lacs+",Nil,Nil,"Rs 13,40,000
13 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"23,40,000  23 Lacs+","9,90,000  9 Lacs+",Nil,"34,01,500  34 Lacs+",Nil,Nil,"Rs 67,31,500
67 Lacs+"
Totals (Calculated as Sum of Values),"Rs 23,40,000
23 Lacs+","Rs 9,90,000
9 Lacs+",Nil,"Rs 34,01,500
34 Lacs+",Nil,Nil,"Rs 67,31,500
67 Lacs+"
