SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,11,678  1 Lacs+","4,03,384  4 Lacs+","26,966  26 Thou+",Nil,Nil,Nil, 542028
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Anexure Not Attached
76,65,259  76 Lacs+","Annexure not attached
3,13,39,657  3 Crore+","Annexure not attached
3,37,549  3 Lacs+",Nil,Nil,Nil, 39342465
iii,"Bonds, Debentures and Shares in companies","31,44,500  31 Lacs+","12,93,860  12 Lacs+","5,00,000  5 Lacs+",Nil,Nil,Nil, 4938360
iv,"(a)
NSS, Postal Savings etc","49,22,062  49 Lacs+","49,95,869  49 Lacs+",Nil,Nil,Nil,Nil, 9917931
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"29,00,000  29 Lacs+","10,74,73,731  10 Crore+","15,07,506  15 Lacs+",Nil,Nil,Nil, 111881237
vi,"Motor Vehicles (details of make, etc.)","Tractor
7,30,000  7 Lacs+

Tractor
4,09,857  4 Lacs+

Trailor
1,20,000  1 Lacs+

Trailor
1,20,000  1 Lacs+

Trailor MH42AH0866
1,20,000  1 Lacs+

Trailor MH42BB5020
1,20,000  1 Lacs+

Honda Aquard
6,75,000  6 Lacs+

Honda CRV
26,77,010  26 Lacs+

Toyota Crambe
37,65,092  37 Lacs+","Tractor
6,30,000  6 Lacs+

Trailor MH42AX0154
1,60,000  1 Lacs+

Innova
20,77,930  20 Lacs+",Nil,Nil,Nil,Nil, 11604889
vii,Jewellery (give details weight value),"8,30,210  8 Lacs+

5,60,000  5 Lacs+","14,30,000  14 Lacs+

33,20,000  33 Lacs+

14,06,144  14 Lacs+",Nil,Nil,Nil,Nil, 7546354
viii,"Other assets, such as values of claims / interests","20,87,984  20 Lacs+","4,92,42,049  4 Crore+","78,554  78 Thou+",Nil,Nil,Nil, 51408587
x,Gross Total Value (as per Affidavit),"3,11,18,652  3 Crore+","20,37,72,724  20 Crore+","24,50,575  24 Lacs+",Nil,Nil,Nil, 237341951
xi,Totals (Calculated as Sum of Values),"Rs 3,09,58,652
3 Crore+","Rs 20,37,72,624
20 Crore+","Rs 24,50,575
24 Lacs+",Nil,Nil,Nil, 237181851
