SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"4,92,14,798  4 Crore+","1,25,47,410  1 Crore+",Nil,Nil,Nil,Nil, 61762208
ii,Any other Liability,Nil,"17,25,000  17 Lacs+",Nil,Nil,Nil,Nil, 1725000
iii,Grand Total of Liabilities (as per affidavit),"7,59,90,114  7 Crore+","1,49,13,697  1 Crore+",Nil,Nil,Nil,Nil, 90903811
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","3,88,069  3 Lacs+",Nil,Nil,Nil,Nil,Nil, 388069
xviii,Totals (Calculated as Sum of Values),"Rs 7,63,78,183
7 Crore+","Rs 1,49,13,697
1 Crore+",Nil,Nil,Nil,Nil, 91291880
